"Complete Payment","Hoàn tất thanh toán",""
"Additional Discount","Giảm giá bổ sung",""
"Exact amount only","Chỉ đúng số tiền",""
"optional","tuỳ chọn",""
"Payment Method","Phương thức thanh toán",""
"Refund Amount","Số tiền hoàn",""
"Enter amount...","Nhập số tiền...",""
"Total Amount","Tổng số tiền",""
"Remaining","Còn lại",""
"Change Due","Tiền thừa",""
"On Account","Ghi nợ",""
"Paid in Full","Đã thanh toán đủ",""
"Fully Paid","Đã thanh toán đầy đủ",""
"Paid Amount","Số tiền đã trả",""
"Paid: {0}","Đã trả: {0}",""
"Customer Credit Available","Công nợ khách hàng khả dụng",""
"Outstanding Balance","Công nợ còn lại",""
"Credit can be applied to invoice","Có thể dùng công nợ để trừ vào hoá đơn",""
"Amount owed by customer","Số tiền khách hàng còn nợ",""
"No outstanding balance","Không còn công nợ",""
"Save","Lưu",""
"Cancel","Huỷ",""
"Submit","Gửi",""
"Delete","Xoá",""
"Edit","Sửa",""
"Search","Tìm kiếm",""
"Close","Đóng",""
"Confirm","Xác nhận",""
"Yes","Có",""
"No","Không",""
"Loading...","Đang tải...",""
"Error","Lỗi",""
"Success","Thành công",""
"Warning","Cảnh báo",""
"Information","Thông tin",""
"Add Item","Thêm hàng",""
"Select Customer","Chọn khách hàng",""
"Create Customer","Tạo khách hàng",""
"Discount","Chiết khấu",""
"Tax","Thuế",""
"Total","Tổng cộng",""
"Checkout","Thanh toán",""
"Clear Cart","Xoá giỏ hàng",""
"Hold Invoice","Giữ hoá đơn",""
"Print Receipt","In hoá đơn",""
"Print Receipt with QR","In hoá đơn kèm mã QR",""
"No stock available","Không còn tồn kho",""
"Item added to cart","Đã thêm hàng vào giỏ",""
"Item removed from cart","Đã xoá hàng khỏi giỏ",""
"Open Shift","Mở ca",""
"Close Shift","Đóng ca",""
"Shift Opening","Mở ca",""
"Shift Closing","Đóng ca",""
"Opening Amount","Tiền đầu ca",""
"Closing Amount","Tiền cuối ca",""
"Cash in Hand","Tiền mặt trong két",""
"Expected Amount","Số tiền dự kiến",""
"Difference","Chênh lệch",""
"Draft Invoices","Hoá đơn nháp",""
"Invoice History","Lịch sử hoá đơn",""
"Offline Invoices","Hoá đơn ngoại tuyến",""
"Return Invoice","Hoá đơn trả hàng",""
"Invoice Number","Số hoá đơn",""
"Date","Ngày",""
"Customer","Khách hàng",""
"Amount","Số tiền",""
"Status","Trạng thái",""
"Paid","Đã thanh toán",""
"Unpaid","Chưa thanh toán",""
"Partially Paid","Thanh toán một phần",""
"Credit Note Issued","Đã lập phiếu ghi có",""
"Cancelled","Đã huỷ",""
"Draft","Nháp",""
"Settings","Cài đặt",""
"General","Chung",""
"Appearance","Giao diện",""
"Language","Ngôn ngữ",""
"Select Language","Chọn ngôn ngữ",""
"Theme","Chủ đề",""
"Notifications","Thông báo",""
"Receipt Settings","Cài đặt hoá đơn",""
"Hardware","Thiết bị",""
"POS Profile","Cấu hình POS",""
"Network connection error","Lỗi kết nối mạng",""
"Session expired, please login again","Phiên làm việc đã hết hạn, vui lòng đăng nhập lại",""
"Insufficient stock for {0}","Không đủ tồn kho cho {0}",""
"Invalid quantity","Số lượng không hợp lệ",""
"Please select a customer","Vui lòng chọn khách hàng",""
"Payment processing failed","Xử lý thanh toán thất bại",""
"An unexpected error occurred","Đã xảy ra lỗi không mong muốn",""
"This field is required","Trường này là bắt buộc",""
"Minimum length is {0} characters","Độ dài tối thiểu là {0} ký tự",""
"Maximum length is {0} characters","Độ dài tối đa là {0} ký tự",""
"Please enter a valid email address","Vui lòng nhập email hợp lệ",""
"Please enter a valid phone number","Vui lòng nhập số điện thoại hợp lệ",""
"Please enter a valid number","Vui lòng nhập số hợp lệ",""
"Value must be positive","Giá trị phải lớn hơn 0",""
"Customer Credit","Công nợ khách hàng",""
"Available Credit","Công nợ khả dụng",""
"Payment Methods","Các phương thức thanh toán",""
"Cash","Tiền mặt",""
"Card","Thẻ",""
"Wallet","Ví điện tử",""
"Bank Transfer","Chuyển khoản ngân hàng",""
"Item","Hàng hoá",""
"Items","Mặt hàng",""
"1 item","1 mặt hàng",""
"{0} items","{0} mặt hàng",""
"Invoice Summary","Tóm tắt hoá đơn",""
"Quantity","Số lượng",""
"Price","Đơn giá",""
"Subtotal","Tạm tính",""
"Grand Total","Tổng cộng",""
"Custom Amount","Số tiền tuỳ chỉnh",""
"Enter amount","Nhập số tiền",""
"Apply","Áp dụng",""
"Apply Coupon","Áp dụng mã giảm giá",""
"Coupon Code","Mã coupon",""
"Remove","Gỡ bỏ",""
"Add","Thêm",""
"Update","Cập nhật",""
"Refresh","Làm mới",""
"Reload","Tải lại",""
"Print","In",""
"Download","Tải xuống",""
"Upload","Tải lên",""
"Import","Nhập khẩu",""
"Export","Xuất khẩu",""
"Filter","Lọc",""
"Sort","Sắp xếp",""
"Ascending","Tăng dần",""
"Descending","Giảm dần",""
"All","Tất cả",""
"None","Không",""
"Select All","Chọn tất cả",""
"Deselect All","Bỏ chọn tất cả",""
"Name","Tên",""
"Email","Email",""
"Phone","Điện thoại",""
"Address","Địa chỉ",""
"City","Thành phố",""
"State","Tỉnh/Quận",""
"Country","Quốc gia",""
"Postal Code","Mã bưu điện",""
"Notes","Ghi chú",""
"Description","Mô tả",""
"Category","Danh mục",""
"Type","Loại",""
"Unit","Đơn vị",""
"Stock","Tồn kho",""
"Available","Có sẵn",""
"Out of Stock","Hết hàng",""
"Low Stock","Tồn kho thấp",""
"In Stock","Còn hàng",""
"Barcode","Mã vạch",""
"SKU","Mã SKU",""
"Image","Hình ảnh",""
"Gallery","Thư viện hình",""
"Product","Sản phẩm",""
"Products","Sản phẩm",""
"Service","Dịch vụ",""
"Services","Dịch vụ",""
"Order","Đơn hàng",""
"Orders","Đơn hàng",""
"Invoice","Hoá đơn",""
"Invoices","Các hoá đơn",""
"Payment","Thanh toán",""
"Payments","Các khoản thanh toán",""
"Receipt","Biên lai",""
"Receipts","Các biên lai",""
"Refund","Hoàn tiền",""
"Refunds","Các khoản hoàn tiền",""
"Return","Trả hàng",""
"Returns","Các phiếu trả hàng",""
"Exchange","Đổi hàng",""
"Exchanges","Các lần đổi hàng",""
"Sale","Bán hàng",""
"Sales","Doanh số",""
"Purchase","Mua hàng",""
"Purchases","Các đơn mua",""
"Report","Báo cáo",""
"Reports","Báo cáo",""
"Dashboard","Bảng điều khiển",""
"Home","Trang chủ",""
"Profile","Hồ sơ",""
"Account","Tài khoản",""
"Holder","Chủ tài khoản",""
"Logout","Đăng xuất",""
"Login","Đăng nhập",""
"Sign In","Đăng nhập",""
"Sign Up","Đăng ký",""
"Register","Đăng ký",""
"Password","Mật khẩu",""
"Username","Tên đăng nhập",""
"Remember Me","Ghi nhớ đăng nhập",""
"Forgot Password?","Quên mật khẩu?",""
"Reset Password","Đặt lại mật khẩu",""
"Change Password","Đổi mật khẩu",""
"Old Password","Mật khẩu cũ",""
"New Password","Mật khẩu mới",""
"Confirm Password","Xác nhận mật khẩu",""
"Today","Hôm nay",""
"Yesterday","Hôm qua",""
"This Week","Tuần này",""
"Last Week","Tuần trước",""
"This Month","Tháng này",""
"Last Month","Tháng trước",""
"This Year","Năm nay",""
"Last Year","Năm trước",""
"Custom Range","Khoảng thời gian tuỳ chọn",""
"From","Từ",""
"To","Đến",""
"Start Date","Ngày bắt đầu",""
"End Date","Ngày kết thúc",""
"Time","Thời gian",""
"Hour","Giờ",""
"Hours","Giờ",""
"Minute","Phút",""
"Minutes","Phút",""
"Second","Giây",""
"Seconds","Giây",""
"Day","Ngày",""
"Days","Ngày",""
"Week","Tuần",""
"Weeks","Tuần",""
"Month","Tháng",""
"Months","Tháng",""
"Year","Năm",""
"Years","Năm",""
"Are you sure?","Bạn có chắc không?",""
"This action cannot be undone","Hành động này không thể hoàn tác",""
"Confirm Delete","Xác nhận xoá",""
"Confirm Action","Xác nhận thao tác",""
"Processing...","Đang xử lý...",""
"Please wait...","Vui lòng chờ...",""
"Saving...","Đang lưu...",""
"Loading data...","Đang tải dữ liệu...",""
"No data available","Không có dữ liệu",""
"No results found","Không tìm thấy kết quả",""
"Search results","Kết quả tìm kiếm",""
"Showing {0} to {1} of {2} entries","Hiển thị {0} đến {1} trên tổng {2} dòng",""
"Page","Trang",""
"Previous","Trước",""
"Next","Sau",""
"First","Đầu",""
"Last","Cuối",""
"per page","mỗi trang",""
"View","Xem",""
"View Shift","Xem ca làm việc",""
"View Details","Xem chi tiết",""
"Edit Details","Sửa chi tiết",""
"Copy","Sao chép",""
"Duplicate","Nhân bản",""
"Archive","Lưu trữ",""
"Restore","Khôi phục",""
"Move","Di chuyển",""
"Rename","Đổi tên",""
"Share","Chia sẻ",""
"Download PDF","Tải PDF",""
"Send Email","Gửi email",""
"Print Invoice","In hoá đơn",""
"Email Invoice","Gửi hoá đơn qua email",""
"Mark as Paid","Đánh dấu đã thanh toán",""
"Mark as Unpaid","Đánh dấu chưa thanh toán",""
"Payment Received","Đã nhận thanh toán",""
"Payment Pending","Chờ thanh toán",""
"Payment Failed","Thanh toán thất bại",""
"Completed","Hoàn tất",""
"Pending","Đang chờ",""
"Processing","Đang xử lý",""
"Cancelled","Đã huỷ",""
"Refunded","Đã hoàn tiền",""
"Draft","Nháp",""
"Submitted","Đã gửi",""
"Approved","Đã duyệt",""
"Rejected","Bị từ chối",""
"Active","Đang hoạt động",""
"Inactive","Ngưng hoạt động",""
"Enabled","Đã bật",""
"Disabled","Đã tắt",""
"Online","Trực tuyến",""
"Offline","Ngoại tuyến",""
"Connected","Đã kết nối",""
"Disconnected","Mất kết nối",""
"Synced","Đã đồng bộ",""
"Not Synced","Chưa đồng bộ",""
"Syncing...","Đang đồng bộ...",""
"Last Sync","Lần đồng bộ cuối",""
"Sync Now","Đồng bộ ngay",""
"Auto Sync","Tự động đồng bộ",""
"Manual Sync","Đồng bộ thủ công",""
"Clear Cache","Xoá cache",""
"Reset Settings","Đặt lại cài đặt",""
"Restore Defaults","Khôi phục mặc định",""
"About","Giới thiệu",""
"Help","Trợ giúp",""
"Support","Hỗ trợ",""
"Documentation","Tài liệu",""
"Version","Phiên bản",""
"License","Giấy phép",""
"Privacy Policy","Chính sách bảo mật",""
"Terms of Service","Điều khoản sử dụng",""
"Contact Us","Liên hệ",""
"Feedback","Góp ý",""
"Rate Us","Đánh giá ứng dụng",""
"More","Xem thêm",""
"Less","Thu gọn",""
"Show More","Hiện thêm",""
"Show Less","Thu gọn",""
"Expand","Mở rộng",""
"Collapse","Thu lại",""
"Full Screen","Toàn màn hình",""
"Exit Full Screen","Thoát toàn màn hình",""
"Shift Open:","Mở ca:",""
"Offline ({0} pending)","Ngoại tuyến (còn {0} chờ)",""
"Online - Click to sync","Đang online - bấm để đồng bộ",""
"Offline mode active","Đang ở chế độ ngoại tuyến",""
"Online mode active","Đã kết nối internet",""
"Cache","Bộ nhớ đệm",""
"Items:","Số mặt hàng:",""
"Last Sync:","Lần đồng bộ cuối:",""
